ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,black_part,total_surface,status
protons,0.703030303030303,67.5,4.561684026610616,15.267626081380298,14.14719496530786,15.267586278453942,0.7629645554066153,229.99996638429323,Developed
protons,0.703030303030303,69.54545454545455,4.709479571018459,15.243591187397273,14.295838378674553,15.24354261131336,0.7704787855992677,235.6178897825562,Developed
protons,0.703030303030303,71.5909090909091,4.844348086027351,15.21244522241728,14.426743517198279,15.212390279220873,0.7775246829109838,240.67778445261683,Developed
protons,0.703030303030303,73.63636363636364,4.965682175210318,15.176315730048652,14.541242619172117,15.17626689948895,0.7824743470044191,245.17855437415415,Developed
protons,0.703030303030303,75.68181818181819,5.072771191375077,15.137313734584074,14.640156212844326,15.137226510194129,0.7868017736917444,249.11866277195242,Developed
protons,0.703030303030303,77.72727272727272,5.16607558112293,15.097522463472172,14.724561961976821,15.097374098966634,0.7909547708004979,252.52154461891627,Developed
protons,0.703030303030303,79.77272727272727,5.245349681757158,15.059002626518193,14.794748063826148,15.058880293645512,0.7935780408145633,255.3530748422019,Developed
protons,0.703030303030303,81.81818181818181,5.310322708409519,15.023777590182894,14.851719200505588,15.023483431182845,0.7964876976755766,257.6246434868409,Developed
protons,0.703030303030303,83.86363636363636,5.360889061569617,14.993808239722874,14.89519646161991,14.99367855362657,0.7985291460791061,259.34235673033896,Developed
protons,0.703030303030303,85.9090909090909,5.39689093025571,14.970873576226957,14.926147696938973,14.97007077450406,0.8004806311927541,260.35803672295367,Developed
protons,0.703030303030303,87.95454545454545,5.416073472656171,14.95645137075307,14.941643583223394,14.951349234924988,0.8004851302395095,260.37897534876663,Developed
protons,0.703030303030303,90.0,5.4312889564901,14.956806659750779,14.956806659750779,14.951527053936529,0.8007174861555457,262.07540534872214,Developed
protons,0.904040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.904040404040404,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.904040404040404,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.904040404040404,6.136363636363637,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.904040404040404,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
